,Domestic,International,WorldWide,imdbId
654,5781045.0,,5781045.0,117826
655,12658486.0,,12658486.0,117718
656,25477365.0,,25477365.0,116225
657,3011195.0,,3011195.0,115632
658,53854588.0,,53854588.0,117918
659,136381073.0,113960743.0,250342030.0,68646
660,16270600.0,,16270600.0,104558
661,3802260.0,,3802260.0,115736
662,3325651.0,,3325651.0,115836
663,1356329.0,499.0,1356828.0,116745
664,19745922.0,,19745922.0,119214
665,,,,110693
666,,,,106544
667,33956608.0,,33956608.0,120004
668,27663982.0,21963797.0,49627779.0,116654
669,26491793.0,,26491793.0,116311
670,3622979.0,,3622979.0,117965
671,4357406.0,,4357406.0,115725
672,21576954.0,1035000.0,22611954.0,115783
673,,,,113596
674,,,,109001
675,15116634.0,,15116634.0,113253
676,588621.0,,588621.0,117991
677,403701.0,,403701.0,117093
678,807775.0,,807775.0,111019
679,,,,35896
680,404524.0,7139.0,411663.0,32904
681,1884537.0,115751.0,2008537.0,45152
682,267824.0,4795.0,274027.0,43278
683,,,,50419
684,,588863.0,590773.0,54698
685,7705225.0,92918.0,7803972.0,52357
686,36764313.0,270571.0,37039396.0,47396
687,,14212.0,14729.0,25316
688,,,,36855
689,,6253.0,6253.0,25164
690,66728.0,78039.0,149561.0,53125
691,18600000.0,178738.0,18778738.0,53604
692,,195234.0,200093.0,53291
693,,173057.0,175119.0,56923
694,4219709.0,407617.0,4656207.0,34583
695,18180.0,16511.0,36941.0,33870
696,72560711.0,71942.0,72635334.0,58385
697,,,1534.0,47437
698,,13701.0,22556.0,46250
699,,,,31580
700,415008.0,85377.0,502553.0,37059
701,24668669.0,969000.0,25637669.0,32138
702,200882193.0,201500000.0,402382193.0,31381
703,20123620.0,,20123620.0,84370
704,299645.0,428.0,304474.0,43014
705,1627530.0,18414.0,1655357.0,33467
706,60481243.0,6004439.0,66543782.0,62622
707,63463.0,87589.0,152366.0,42192
708,,16161.0,16161.0,32143
709,,111055.0,112282.0,32976
710,,623.0,782.0,32484
711,,113061.0,114083.0,38787
712,,19000.0,19000.0,38109
713,3850000.0,1689.0,3853404.0,50105
714,,2964.0,6367.0,48728
715,,,,42451
716,,14537.0,14889.0,45537
717,,1204.0,1530.0,31725
718,,,,50658
719,,,,51658
720,,,,29843
721,,10248.0,10248.0,32762
722,,151.0,151.0,37008
723,,29545.0,29545.0,39420
724,,,,29162
725,,5541.0,13592.0,27125
726,,,,35446
727,,,,28010
728,32855818.0,,32856387.0,49261
729,,24348.0,25181.0,48028
730,,,,25878
731,,,,32599
732,42000000.0,9549.0,42009549.0,48960
733,1483643.0,8256665.0,9767242.0,38650
734,144738.0,,145941.0,31679
735,,11180.0,11665.0,29947
736,,,,34012
737,,,,25586
738,,,,27893
739,,,,41509
740,,51711.0,52383.0,26029
741,236452.0,,236452.0,63350
742,,46305.0,46305.0,43265
743,,,,46414
744,,,162.0,51459
745,,,,33891
746,,,,22879
747,40374.0,,40374.0,114007
748,5303931.0,102811.0,5406742.0,118927
749,,,,48491
750,,,,117357
751,25143818.0,,25143818.0,116329
752,294064.0,,294064.0,118742
753,660313.0,,660313.0,116442
754,14502483.0,,14502483.0,117011
755,11092559.0,43244.0,11135803.0,117039
756,195170.0,,195170.0,116635
757,12008376.0,,12009094.0,115678
758,18115927.0,29151074.0,47267001.0,116830
759,36461139.0,5129747.0,41590886.0,117603
